horizon,model,n_test,om_mae,mae_base,mae_all,mae_qc,d_all_vs_base,all_lo,all_hi,d_qc_vs_base,qc_lo,qc_hi,d_qc_vs_all,v_lo,v_hi
1,linear,273,0.946,0.4999,0.5068,0.4936,-0.0067,-0.0349,0.0216,0.005,-0.0238,0.0339,0.0133,0.0024,0.0231
1,xgboost,273,0.946,0.4422,0.419,0.4454,0.0224,-0.0132,0.0604,-0.0034,-0.0455,0.0383,-0.0255,-0.0572,0.0063
3,linear,273,0.9627,0.7794,0.7768,0.7354,0.0026,-0.0593,0.0634,0.0438,-0.0117,0.098,0.0416,0.0197,0.0622
3,xgboost,273,0.9627,0.798,0.7208,0.7182,0.0762,0.03,0.1252,0.0799,0.0371,0.1231,0.0018,-0.0268,0.0299
6,linear,272,1.0371,0.9062,0.8942,0.8749,0.0128,-0.0483,0.075,0.0323,-0.035,0.1036,0.02,-0.0046,0.0425
6,xgboost,272,1.0371,0.9978,0.9685,0.9583,0.0288,-0.0191,0.0783,0.0388,-0.006,0.0893,0.01,-0.0226,0.0454
12,linear,271,1.1474,1.0428,1.0203,1.0214,0.0221,-0.0179,0.0594,0.0218,-0.0237,0.0718,-0.0004,-0.0258,0.0249
12,xgboost,271,1.1474,1.0943,1.1011,1.123,-0.0083,-0.0417,0.0247,-0.0294,-0.0664,0.0049,-0.0213,-0.0465,0.0045
24,linear,257,1.3902,1.405,1.5229,1.5391,-0.1182,-0.1645,-0.074,-0.1345,-0.1945,-0.0779,-0.0154,-0.04,0.009
24,xgboost,257,1.3902,1.4214,1.3822,1.37,0.0383,-0.0095,0.0859,0.052,0.0083,0.0996,0.0125,-0.0203,0.0478
